time,open,high,low,close,volume,ticker,industry,MA10,MA20,MA50,MA200,rsi,macd,upper_band,lower_band,RS
2020-05-12,7700,7890,7580,7800,3956090,SSI,Dịch vụ tài chính,7277.0,7295.0,6951.8,,56.85279187817258,153.21540968121917,7743.787841096151,6846.212158903849,
2020-05-13,7700,7860,7530,7730,5490540,SSI,Dịch vụ tài chính,7330.0,7320.0,6955.4,,71.3375796178344,172.04865742478705,7807.5718570523,6832.4281429477,
2020-05-14,7610,8050,7610,7830,5857120,SSI,Dịch vụ tài chính,7401.0,7349.0,6962.0,,68.30985915492957,192.82059047259918,7885.573926823997,6812.426073176003,
2020-05-15,7890,7940,7640,7670,3732360,SSI,Dịch vụ tài chính,7453.0,7365.5,6964.0,,61.39240506329114,194.13397858159624,7920.8746957069025,6810.1253042930975,
2020-05-18,7670,7800,7610,7770,2313840,SSI,Dịch vụ tài chính,7532.0,7387.0,6965.0,,64.84848484848484,200.92784130423934,7970.784387018249,6803.215612981751,
2020-05-19,7970,8020,7800,7860,6873020,SSI,Dịch vụ tài chính,7622.0,7406.0,6962.6,,69.87951807228916,211.1403794338985,8026.132413703938,6785.867586296062,
2020-05-20,7830,7920,7800,7860,2577550,SSI,Dịch vụ tài chính,7696.0,7422.5,6961.2,,73.41772151898735,216.7354975761209,8073.32538688229,6771.67461311771,
2020-05-21,7940,7970,7800,7890,3314490,SSI,Dịch vụ tài chính,7760.0,7464.0,6971.2,,73.41772151898735,221.0423793391028,8123.294678944225,6804.705321055775,
2020-05-22,7800,8080,7750,7860,7455010,SSI,Dịch vụ tài chính,7804.0,7491.5,6980.6,,80.55555555555556,219.504553035581,8169.36895178156,6813.63104821844,
2020-05-25,7920,8020,7860,8000,6022830,SSI,Dịch vụ tài chính,7827.0,7526.0,7002.8,,83.33333333333333,226.96631814780085,8234.516611995543,6817.483388004457,
2020-05-26,8080,8470,8050,8440,8120570,SSI,Dịch vụ tài chính,7891.0,7584.0,7042.8,,85.86956521739131,265.32563476680025,8390.823531217498,6777.176468782501,
2020-05-27,8510,8540,8189,8189,7938010,SSI,Dịch vụ tài chính,7936.9,7633.45,7080.38,,73.94186639469658,272.3327844282194,8462.113216461155,6804.786783538843,
2020-05-28,8189,8300,8130,8160,4876490,SSI,Dịch vụ tài chính,7969.9,7685.45,7117.38,,70.32967032967034,272.40581867088986,8508.958150344713,6861.941849655286,
2020-05-29,8130,8189,8050,8130,3573780,SSI,Dịch vụ tài chính,8015.9,7734.45,7145.18,,62.0,266.96553702431083,8540.242836116582,6928.657163883418,
2020-06-01,8189,8410,8160,8350,4455460,SSI,Dịch vụ tài chính,8073.9,7802.95,7182.18,,66.27218934911242,277.2107233465149,8570.728332867642,7035.1716671323575,
2020-06-02,8410,8440,8250,8270,6106810,SSI,Dịch vụ tài chính,8114.9,7868.45,7217.58,,65.88235294117646,275.6967157830395,8552.372579490402,7184.5274205095975,
2020-06-03,8300,8350,8250,8350,3251400,SSI,Dịch vụ tài chính,8163.9,7929.95,7252.98,,65.47619047619048,277.75045098791725,8548.587033281497,7311.312966718501,
2020-06-04,8490,8760,8490,8630,9360040,SSI,Dịch vụ tài chính,8237.9,7998.95,7302.98,,76.66666666666666,298.5304378180872,8605.996161428626,7391.903838571374,
2020-06-05,8630,8680,8510,8630,5731890,SSI,Dịch vụ tài chính,8314.9,8059.45,7356.78,,75.29411764705883,311.40899800904026,8664.731135202102,7454.168864797897,
2020-06-08,8900,8900,8740,8820,5993130,SSI,Dịch vụ tài chính,8396.9,8111.95,7406.38,,76.66666666666666,333.1069127112514,8789.370020526774,7434.5299794732255,
2020-06-09,8960,8960,8680,8710,6435790,SSI,Dịch vụ tài chính,8423.9,8157.45,7457.58,,72.25130890052355,337.53568448407987,8868.077735841585,7446.822264158415,
2020-06-10,8660,8850,8470,8790,6544090,SSI,Dịch vụ tài chính,8484.0,8210.45,7515.98,,72.9591836734694,343.54072579345666,8944.57130791635,7476.328692083651,
2020-06-11,8790,8900,8189,8189,9349070,SSI,Dịch vụ tài chính,8486.9,8228.4,7570.56,,56.49940734887396,296.3875162689692,8940.581348874133,7516.218651125866,
2020-06-12,8020,8510,7860,8510,7587730,SSI,Dịch vụ tài chính,8524.9,8270.4,7630.56,,59.402654867256636,281.6733205871751,8941.835038202718,7598.964961797281,
2020-06-15,8510,8540,7940,7940,7253720,SSI,Dịch vụ tài chính,8483.9,8278.9,7671.56,,41.203377902885286,221.4650667557171,8927.58089632972,7630.21910367028,
2020-06-16,8250,8380,8109,8350,5005720,SSI,Dịch vụ tài chính,8491.9,8303.4,7712.76,,52.682439186937685,204.47609219539208,8921.769809299098,7685.030190700902,
2020-06-17,8320,8380,8160,8250,2911920,SSI,Dịch vụ tài chính,8481.9,8322.9,7743.36,,51.46484375000001,180.85822218721205,8905.986849177874,7739.813150822124,
